,top 3,SPY top 3,top 5,SPY top 5,top 10,SPY top 10
2025-12-24,8268.221631961527,7483.794221525485,11617.072853682437,10518.223952143318,17867.258404901317,16388.803951302816
2025-12-26,8297.972049623899,7489.479633754398,11652.556879539314,10526.214609998655,17904.307829262398,16401.254468198913
2025-12-29,8212.037745019346,7470.793054189827,11535.888817422177,10499.951243724583,17796.61477569852,16460.332620278063
2025-12-30,8212.689671500755,7461.58188702998,11515.821067395056,10487.005254540483,17727.094459010135,16440.037736699804
2025-12-31,8150.003935999302,7422.430563747498,11422.948022500177,10431.979371396415,17489.006804948847,16353.775970501867
2026-01-02,8248.078817066642,7434.026884750181,11514.312016597789,10448.277615003428,17641.201803912478,16379.326042561304
2026-01-05,8402.48826380462,7512.820599447634,11729.478018920889,10559.019561224412,17979.198573166286,16552.93154105386
2026-01-06,8430.372850453416,7550.866716112343,11768.97774615794,10612.492113213852,18135.703281540944,16636.75821523269
2026-01-07,8383.812052581301,7543.720664850793,11710.854038352581,10602.44857576245,18073.456050142184,16621.013383347577
2026-01-08,8290.980420635622,7550.361271662715,11598.430080018958,10611.781727845257,17927.701465553575,16635.64457392291
2026-01-09,8391.416790998297,7612.630100428809,11738.976963276204,10699.298496320209,18168.711893862786,16772.840936602268
2026-01-12,8466.59385714261,7646.985086111955,11843.10978232455,10747.58328644026,18339.312520315507,16848.53497435805
2026-01-13,8458.537687557522,7603.395852258504,11850.528340928202,10686.320067543324,18276.840830019282,16752.495198836692
2026-01-14,8410.97711966541,7581.91367231923,11777.544425965372,10656.127577892603,18196.912254638577,16705.163700742152
2026-01-15,8532.209938658083,7600.0822938924775,11913.526615795989,10681.662971431284,18348.61286006737,16745.194464836182
2026-01-16,8546.221824429718,7618.123437543777,11895.685168698605,10707.019198989137,18308.384986704186,16784.944357946133
2026-01-20,8527.215124906148,7443.722538493451,11817.121653373066,10461.904533971992,18316.363092274045,16500.688391167085
2026-01-21,8517.72195369389,7472.666497634968,11808.050667517397,10502.584306197226,18296.918489167005,16564.84919889885
2026-01-22,8589.854122356084,7547.024325109179,11909.213209640197,10607.091760413296,18505.66551586148,16729.6800794497
2026-01-23,8520.129558233906,7497.325773760515,11792.221702021016,10537.242098903529,18364.42148738496,16619.51204120594
2026-01-26,8501.61950712819,7469.409334289828,11766.603745028588,10498.006471411982,18276.191583813114,16557.628962368086
